Unnamed: 0,brand_name,watch_name,rating,number_of_reviews,price
115,Fastrack,Fastrack Tick Tock Quartz Multifunction Brown Dial Brown Metal Strap Watch for Guys - NT3287QM01​,4.3,445.0,3671.0
116,TIMEWEAR,Analog Day Date Functioning Stainless Steel Chain Watch for Men,3.8,16300.0,319.0
117,Casio,Edifice EFR-575L-7ADF Analog Cream Dial Men (ED657),4.4,47.0,8995.0
118,Casio,Casio Edifice EFK-100D-3ADR Automatic Analog Green Dial Men (ED671),4.3,19.0,25995.0
119,BENYAR,Analogue Men's Watch ( Black Colored Strap),4.0,4700.0,2745.0
120,TIMEX,"Analog Watch for Men Available in Green, Blue Dial & Multicolor Stainless Steel Bracelet Band - Water Resistant Wrist Watches",3.4,123.0,6597.0
121,Casio,Unisex-Adults Vintage B640WMR-5ADF Rose Gold Digital Dial Rose Gold Stainless Steel Mesh Band D216,4.5,289.0,5575.0
122,Titan,Titan Octane Chronograph Silver Dial Men Watch -NM90086KM02 / NL90086KM02/NP90086KM02,4.4,255.0,9310.0
123,Titan,Titan White Dial Analogue Watch for Men (9162YL01)-NM9162YL01 / NL9162YL01/NP9162YL01,4.3,316.0,4196.0
124,Titan,Titan Workwear Urban Edge Quartz Analog Green Dial Olive Green Leather Strap Watch for Men - NP1802SL04,4.4,1200.0,1795.0
125,Casio,Vintage A168WGG-1BDF Digital Black Dial Unisex Watch Grey Metal Strap (D182),4.5,803.0,5295.0
126,Titan,Titan Lagan Quartz Analog with Day and Date White Dial Two Toned Silver and Gold Metal Strap Watch for Men - NT1775BM02,4.3,518.0,3035.0
127,Seiko,Seiko Analog Stainless Steel Blue Dial Silver Band Men's Watch-SSK003K1,4.5,1100.0,40500.0
128,Titan,Neo Iv Analog Black Dial Men's Watch - NM1805NL01/NL1805NL01/NP1805NL01,4.4,514.0,4557.0
129,LONGBO,Analog Business Casual Stainless Steel Decorative Subdials Watch for Men,3.9,1100.0,948.0
130,Sonata,Poze Quartz Analog Green Dial Metal Strap Watch for Men-SP70033SM01W,4.2,151.0,1102.0
131,TIMEX,Classics Analog Watch for Unisex with Round Dial & Water Resistant Unisex Wrist Watches,4.3,595.0,3496.0
132,AMERICANVIBER,"Analog Date Function Working Adjustable Lock Men Watch, blue, silver",4.2,44.0,388.0
133,Casio,Youth Series Digital Black Dial Men AE-1500WH-8BVDF (D219),4.4,905.0,2495.0
134,Acnos,Brand Digital 4 Colours Vintage Square Dial Unisex WR70ist Watch for Men Women Pack of 1 (WR70),3.8,704.0,265.0
135,Casio,Analog Black Dial Men's Watch - MTP-VD300L-1EUDF (A1751),4.4,246.0,4795.0
136,TIMEX,Analog Watch for Men Available in Multicolor Dial & Silver Stainless Steel Bracelet Band - Water Resistant Wrist Watches,3.9,62.0,2518.0
137,Casio,Casio Edifice EFR-S108D-2AVUDF Blue Analog Dial Silver Stainless Steel Band Men's Watch Slim Case Sapphire Glass ED602,4.8,108.0,12495.0
138,Sonata,SF Digital SF Digital Black Plastic Strap Watch for Men - NT77073PP02,4.3,1700.0,649.0
139,Sonata,Essentials Quartz Analog with Day and Date Forest Green Dial Gold Stainless Steel Strap Watch for Men - NT77082YM05W,4.2,427.0,1844.0
140,Casio,G-Shock GA-B2100-1ADR Black Analog-Digital Dial Black Resin Strap Men's Watch Tough Solar Bluetooth G1241,4.6,311.0,9596.0
141,Seiko,Stainless Steel Analog Blue Dial Men's Watch-Snkp17K1,4.4,426.0,17500.0
142,Fastrack,Neon Quartz Analog Black Dial Black Silicone Strap Unisex Watch - NT38003PP13W,4.2,4200.0,825.0
143,TIMEX,Analog Watch for Men Available in Multicolor Dial & Gold Stainless Steel Bracelet Band - Water Resistant Wrist Watches,4.6,21.0,4398.0
144,Casio,Vintage ABL-100WEGG-1BDF Bluetooth Digital Black Dial Unisex (D367),4.5,31.0,7995.0
145,Fastrack,Fastrack All Nighters Quartz Multifunction Black Dial Brown Leather Strap Watch for Guys - NT3165NL01,4.2,454.0,3534.0
146,Casio,Edifice EFR-526D-1AVUDF Black Analog Dial Silver Stainless Steel Band Men's Watch Solid Band Stop-Watch EX093,4.5,335.0,8495.0
147,Fossil,Nate Chronograph Analog Black Dial Grey Band Men's Watch,4.0,11300.0,12796.0
148,ON TIME OCTUS,360° Spinning Rotating Car Wheels Gyro Men's Sport Watch| Black Coated Stainless Steel Chain Analog Luxury Watches for Boy's and Men,3.8,74.0,564.0
